"nggak","daan"
"celana dalam wanita","katok sampak"
"hancur","ancai"
"dahulu kala","ge' dolo'"
"bingkai","bingkai"
"sumbat","kapat"
"panggilan untuk anak perempuan cina","ammoi"
"sumpah","nyan"
"rumah gubuk diladang","dangau"
"biarlah","alekandah"
"menghirup","ngirrup"
"lelah","takkar"
"perasaan marah campur malu","kasang"
"kakus","jamban"
"melakukan pendekatan kepada gadis atau pemuda yang disukai","ngurat"
"begadang","ngambun"
"kacang","kace"
"cair","encer"
"hantu kambing","antu kambek"
"senda gurau","kelakar"
"setelah","laka'"
"pilihan terakhir yang jelek merah kehitam-hitaman","barrau"
"letih","kappak"
"ketawa","betawak"
"berjudul","bejudul"
"umpama","ibarat"
"terbenam","tibannam"
"banyak hamanya","ama'an"
"waktu itu","waktuye"
"kata hubung, penekanan sebuah pernyataan, pertanyaan","do'"
"hirup","irrup"
"kepanasan","berauu"
"baju","baju"
"kuali","kawah"
"tidur yang membengkokkan kaki","ngetok"
"terbesar","paling bassar"
"tikar pandan","belungkur"
"serakah","kamo'"
"ekor","ekok"
"lumpur","lumpor"
"gema","gaong"
"simpan","taroh"
"bahwa","bahwe"
"cengkeh","cangkeh"
"milik","nok"
"sogol","kasian"
"membajak","bajak"
"melongo","conom"
"jejaka","bujang"
"panggilan untuk anak sulung","allong"
"juling","juling"
"pewangi pakaian","molto"
"lecet","lallas"
"suci","suci"
"puasa tanpa sahur","meruntas"
"dahulu","dolo'"
"teriak-teriak tak karuan","keraok kepadau"
"tendang","tandang"
"kidal","keba'"
"menjilat","jillat"
"zakat fitrah","fitrah"
"kepung","kappong"
"paman","pak tua'"
"lemparan bola yang tepat sasaran","baddab"
"doang","naknye"
"melilit","lillik"
"cantik","nallo'"
"kembali","kembali"
"waktunya","waktunye"
"sekitar","dakat sie"
"junjung","junjong"
"film","pelam"
"panggilan untuk anak pertama","along"
"gugup","gobar"
"salak","salak"
"kemana-mana","kemane-mane"
"mengkilat","meraning"
"pt","pt"
"suruhan","surohan"
"jancok","keparat"
"belang","ballang"
"panas","bedengkang"
"meriksa","merikse"
"rusak parah","bannyai"
"libur","libur"
"selagi","ge'"
"orang sambas","biak sambas"
"sebuah kepercayaan bahwa kecelakaan disebabkan karena tidak mencicipi makanan yang ditawarkan.","keponan"
"masuk angin","merasok"
"ikan cupang","ikan sabong"
"halo","allo"
"di sini","di sitok"
"menahan amarah","geriggitan"
"mengoceh marah","merepek"
"kiper","kepar"
"raja","raje"
"warung kecil","dappot"
"suka di puji","anjongan"
"berdebat","beta'wel"
"pasti","pasti"
"terbuka","tebukak"
"benaran","inyan we"
"daya","daye"
"tanda-tanda akan terjadi sesuatu","firasat"
"alat memanggil burung","nakkut"
"membawa","bawa'"
"pelit","keminting"
"kata hubung pertentangan, tapi","kila'ang"
"lambat","lat"
"tentu","tantu"
"menyentuh","jamah"
"anting-anting","subbang"
"hayal","ayal"
"y","y"
"sumpah saya cinta sama anda","busong dih aku cinte dengan kau"
"main kasar","mbassut"
"murah","murrah"
"terbentur","terantok"
"hemat","hemat"
"endap","ngandap"
"nyesek","nyasak"
"tikus","tikus"
"Habis-habisan","ancor-ancoran"
"cempedak","temaddak"
"sakit pinggang","merasok"
"seperti itu","geye"
"ladang","ume"
"gendang","gandang"
"membalas","balas"
"menggigil kedinginan","gelaggasan"
"mengapa","jope"
"getek","birrah"
"baring","guring"
"spatula","penculik"
"stres","stres"
"kesana kemari","kullu killek"
"memasak nasi","berapi"
"basah kuyup","basak baoh"
"capung","cibbi'"
"tempat spesial untuk menjemur","langkaw"
"jarrik","kejarrik"
"cerita","cerite"
"tatacara membelitkan kain sarung dipinggang","belat"
"permainan yang seimbang","belaok"
"mereguk","naggok"
"celana keras karena disetrika dengan tepung kanji","nyajjing"
"celana dalam","selawar"
"suara lantang","bedancang"
"mata ku perih","mate ku padeh"
"pas","pas"
"tahu diri","ngaddar"
"mengapa begitu","tang geye"
"sendal","alas"
"perut bawah","bane'an"
"keluar sedikit-sedikit","mincat"
"jika","mun"
"hati","atti"
"drum","leger"
"sakit keras","nguatte'"
"turun ke bawah karena tidak lagi kencang","lamber"
"anak hasil kawin campur","tongpan"
"hingar-bingar","ribut"
"haram","haram"
"kakak laki-laki","abang"
"berburu menggunakan ketapel","nappel"
"belimbing wuluh","gerinnang"
"panggilan untuk ibu","ma'"
"kata","kate"
"renyah","ranggup"
"panggilan hormat untuk semua pria dewasa","abang"
"kalah","nungging"
"laki-laki yang mencintai laki-laki","rodong"
"anu","ano'"
"karang","karang"
"apabila","apebile"
"sebuah kepercayaan mencicipi makanan yang ditawarkan untuk menghindari kecelakaan","cappe'"
"sadar","maddas"
"bergoyang","bejoget"
"pada zaman dahulu","gek marek"
"nyaman","nyaman"
"toreh","nangkal"
"tuah","rezeki"
"menggeliat","keladding keliat"
"emosian","pemanas"
"lembut","lambut"
"hampir putus","lambaran"
"mengejar","ngalau"
"keluarga","kaum"
"gayung","cibbok"
"keram","kebiawakkan"
"teratur","beres"
"penis","butoh"
"berdiri lurus","ticaggat"
"begitu","geye"
"kupon","kopon"
"jemput","singgahek"
"kawat baja","labbrang"
"merdeka","mardeka"
"fana","fane"
"mendesing","bedassing"
"sangat ramai","brasak"
"rugi","takkor"
"tidak bisa diam seperti orang kesetanan","ngelappar"
"liur","lior"
"alas","alas"
"minta tempo","betanggoh"
"menuntut","nuntut"
"berhitung","bereken"
"anak hasil hubungan gelap yang tidak mempunyai ayah","ampang"
"cukup","cukup"
"kelelepan","tilallap"
"gondok","bangngo'"
"tingkah","kerenah"
"atau berdiri tegak lurus","laggat"
"hari","ari"
"pengadu","penummang"
"muka mengejek","birrong"
"penis","paler"
"menahan amarah","ngerigitan"
"bau busuk","bunto'"
"menurun fungsinya karena sudah tua (barang)","soak"
"sok tahu","penau"
"tong","bak"
"gila","gile"
"padat","labbat"
"penyok","kapek"
"busuk (menggacu pada sifat buah)","labbas"
"perawan tua","labbak"
"ungkapan untuk menarik kembali ucapan atau pemberian yang sudah terlanjur","miring"
"dahi yang menonjol","jandol"
"sejuk","sajjok"
"ayam jantan","jagau"
"curi","curri"
"andaikan","mun"
"banget","inyan"
"pot bunga","jambangan"
"jaga","jage"
"dari tadi","dari tade'"
"tanyain","tanyakkan"
"mengajak","njakke'"
