indonesia,sambas
"Halo, apa kabar?","Halo, ape kabar?"
"Saya sedang belajar.","Aku agek belajar."
"Dimana rumahmu?","dimane rumahmu?"
"Apa yang kamu lakukan?","Agek ngape kau ye?"
"Ini sangat menarik.","Menarik juak tok."
"Saya suka makan nasi.","Aku suke makan nasek."
"Kapan kamu pulang?","bile kau balik?"
"Siapa namamu?","sape namemu?"
"Berapa harga ini?","Berape harge itok?"
"Kamu lagi dimana","kau agek dimane"
"siapa namamu","sape namemu"
"kamu pergi dengan siapa","kau paggi dengan sape"
"apakah kamu sudah sampai?","udah datang ke kau?"
"kapan","bile"
"ngantuk","ngantok"
"rasa ingin jalan-jalan","rase nak jalan-jalan"
"saya sedang berjulan","aku agek jualan"
"lagi dimana","agek dimane"
"bolehkan saya meminjam uang","bolehke minjam duit"
"apa nama desamu","ape name kampongmu"
"lagi","agek"
"kamu","kau"
"aku","aku"
"saya","aku"
"kamu lagi","kau agek"
"aku lagi","aku agek"
"kamu lagi dimana?, aku lagi makan","kau agek dimane?, aku agek makan"
"dia","die"
"dimana","dimane"
"makan","makan"
"dari mana","dari mane"
"sudah tidur ya?","udah tidok ke?"
"tidur","tidok"
"iya","aok"
"iya","iye"
"mau","maok"
"sama","same"
"sama","dengan"
"enggak","daan"
"enggak","indak"
"suka","suke"
"kopi","kopi"
"jangan","usah"
"lupa","lupak"
"nya","nye"
"seperti","macam nak"
"dulu","dolok"
"yang","yang"
"yang","nang"
"iya mau sama siapa lagi","aok nak dengan sape agek"
"aku mau","aku maok"
"aku ingin","aku nak"
"aku ingin makan","aku nak makan"
"lelah","kappa'"
"siapa","sape"
"sudah","udah"
"belum","balom"
"21 hari lagi","21 ari agek"
"ada yang aneh","ade yang endah"
"agama mu apa","agame mu ape"
"ajarin lah bahasa sambas","ajarek lah bahase sambas"
"akhlak kamu itu baik","akhlakmu ye baik"
"aku belum bisa melupakan dia","aku balom bise melupakkan die"
"aku cinta dewi","aku cinte dewi"
"aku ingin ke pasar","aku nak ke pasar"
"aku ingin makan","aku nak makan"
"aku ingin makan sapi dirumah ibu","aku nak makan sapi dirumah umak"
"aku ingin pergi kepasar","aku nak paggi kepasar"
"aku kangen","aku salok"
"anak Sambas","biak sambas"
"apa liat liat","ape liat-liat"
"apa lihat","ape liat"
"bacot kamu","bacot kau"
"belum ada duit","balom ade duit"
"belum ada duit","sian duit"
"boleh along ikutan","boleh along ikutan"
"boleh lah","boleh lah"
"cowok pacaran","cowok pacaran"
"cuaca panas begini minum es kopi enak kali","cuace berau getok minum es kopi nyaman kalu"
"dari pada tidak dibalaskan","dari pade daan dibalaskan"
"di cari","di care'"
"di mana saja","dimane ajak"
"dia pingin","die maok"
"Gajah","Gajah"
"gak kenapa","daan ngape"
"gak kenapa","daan ngape-ngape"
"gak mau","indak"
"lagi apa","ge ngape"
"gimana kabarmu","gimane kabarmu"
"hai cantik","hai cantek"
"hati ini hanya untuk kamu","hati ittok hanye untokkan kau"
"hatiku hanya untukmu","hatiku hanye untukmu"
"hay cantik","hay cantek"
"hujan rintik","ujan rintik"
"ingin makan malam","nak makan malam"
"ini game apa","ittok game ape"
"isco belum bisa tidur","isco balom bise tidok"
"iya nanti di ajari","aok kalak di ajarek"
"jangan macam-macam aku masih sayang","usah macam-macam aku maseh sayang"
"jangan terlalu main game","usah maing game tolen"
"jujur aja","jujor aja'"
"jujur sebenernya long gak mau jauh sama usu","jujor sebenernya long daan nak jauh same usu"
"kamu datang ke sini kapan","kau bile datang ke sitok"
"kamu juga sama","kau same juak"
"kamu ke sini","kau kesitok"
"kamu kemana tadi","kau kemane tadek"
"kamu kemana tadi gak datang ke tempatku","kau kemane tadek daan datang ke tampatku"
"kamu lah yang paling betul","kau lah yang paling battol"
"kamu masih sekolah kah","kau maseh sekolah ke"
"kamu pasti kangen","kau pasti salok"
"kamu sini","kau sitok"
"kamu tidak ikut","kau daan ikut ke"
"kamu tidak main","kau daan maing ke"
"kamunya ajah yang baru kelihatan","kau ajak yang barok keliatan"
"kangen dia pingin ketemu dia","salok die nak bejumpe"
"pingin","nak"
"pengen","nak"
"ingin","nak"
"kapan kamu pulang","bile kau balik"
"Kapan kapan aja bg ke sana","bile bile aja' bg kesinun"
"kapan kita berdua","bile kitte beduak"
"kenapa di matikan","ngape tang di matikan"
"kenapa kau melihat aku terus","ngape kau meliat aku tolen"
"kenapa lama","ngape tang lamak"
"kenapa marah","ngape tang marah"
"kesabaran aku lagi di uji","kesabaranku age' di uji"
"ketemu dia","bejumpe die"
"kok baru keliatan yah","tang barok keliatan i"
"lagi apa sih","age ngape we ye"
"lama juga yah","lamak juak i"
"makan bersama","makan besame-same"
"makan hati","makan ati"
"makanya jangan begadang","makaenye usah begadang"
"malam ini","malam ittok"
"malam ni","malam itok"
"mana ada aku pacaran","mane ade aku pacaran"
"mana aku tau dong","mane aku tau"
"Mana bisa nanti rusak hp ku","mane bise kalak rusak hp ku"
"masa yang bener","masa yang bener"
"mau bangunin tapi takut ganggu","nak bangunkan tapi takut ngacau"
"mau kontol","nak paler"
"mau nanya boleh","nak nanyak boleh ke"
"mengapa kau pergi","ngape kau paggi"
"menunggu waktunya aja  nanti tiba juga","tunggu' aja'  kalak ade waktunye"
"nanti aku ketiduran","kalak aku ketido'an"
"ngomel terus dari tadi","ngerepek tolen dari tadek"
"orang sambas ngomong telur kura-kura gak bisa rebus","urang sambas yang ngomong tallo' kura-kura daan bise dirabbus"
"orang udah gak suka lagi susah mau bilang","urang udah daan suke age' payah nak padahkan"
"pada lagi ngapain sekarang","agek ngape saat itok"
"panas banget","berau inyan"
"pening tidak chat kamu","panning kepalak daan chat kau"
"pergi belanja","paggi belanje"
"pergi dinas","paggi dinas"
"Pergi WiFi ndak wahyu","paggi WiFi ke daan wahyu"
"pindah sekolah","pindah sekolah"
"santai disini dulu","santai disitok dolo'"
"saya ingin menciummu","aku nak nyium kau"
"saya ingin tidur","aku nak tidok"
"saya mau mandi","aku nak mandek"
"saya rindu calon istriku","aku salo' calon biniku"
"saya rindu kampung halaman","aku salo' kampong halaman"
"sebelum berangkat dinas fitnes dulu","sebalom berangkat dinas fitnes dolok"
"sebelum pergi dinas kita fitnes","sebalom paggi dinas kitte fitnes"
"sebelum pergi dinas kita fitnes dulu","sebalom paggi dinas kitte fitnes dolo'k"
"seperti kebakar","macam nak tebakar"
"silahkan makan","silekan makan"
"silahkan minum","silekan minum"
"sini aku mau bicara","sittok aku nak ngomong"
"sini aku mau ngomong","sittok aku nak ngomong"
"sini duduk di samping aku","sittok dudok di sampingku"
"sudah pada siap","udah siap"
"tempat yang bagus","tampat bagus"
"tidur mulu","tidok tolen"
"mulu","tolen"
"untuk besok","untokkan isok"
"ternyata masih pandai","rupenye maseh pandai"
"ya belajar lah","belajar lah"
"yang aslinya lah","yang aslinye lah"
"yang bener","inyan-inyan we"
"ye kenapa","ye ngape"
"benar lah tidak apa","Inyan lah daan ape"
"budak budak kau","biak biak kitak"
"duit nya banyak benar","duit nye banyak inyan"
"duit nya banyak hingga bertumpuk-tumpuk","duit nye belonggok"
"iya nanak makan bah","aok nanak makan we"
"yang mana","yang mane"
"hantu","butte"
"hantu","antu"
"ganjen","miang"
"ganjen","birrah"
"setan","setan"
"berteriak","ngeraok"
"setelah itu","lakak iye"
"lelah","kappak"
"siapa itu","sape ye"
"jitak","tempeleng"
"sendal jepit","slipar"
"sendal jepit","sandal"
"anda","dirre'"
"melihat","meliat"
"kikuk","gamam"
"menjaring ikan","nyale"
"miring","rencong"
"buk","buk"
"nginap","bemalam"
"keluarga","insanak"
"timun","intimun"
"sampai hatimu","sampai atimu"
"sampai hati","saggalnye"
"berisik","ingar"
"kedau","kaddau"
"eram","arram"
"aku ya","aku i"
"okay","oke"
"sobek","rambau"
"sobek","koyak"
"cubit","kuttis"
"tidak mengerti","daan ngerati"
"tetapi","tapi"
"sebab","sabbab"
"remuk","rammok"
"mesum","birah"
"nya","eng"
"kemarin","semari"
"bertaburan","betaboran"
"ngeri","rabban"
"pantas","pantas"
"sadar","meladde"
"almarhum","jannat"
"almarhumah","jannat"
"teras","serambek"
"kamu","direk"
"situ","sie"
"serupa","macam nak"
"ngintip","nillik"
"pantesan","padan"
"malu sendiri","kassang"
"geser","enser"
"celana dalam","seluar"
"tergesa-gesa","gopoh"
"hama pohon kelapa","imbatar"
"kumbang","imbatar"
"kamu tidak","kau daan"
"tidak terasa","daan keladaan"
"tidak terasa","daan terase"
"berkat","berkat"
"berkat","kemaren"
"setelah itu","lakka' iye"
"sekung","cakkong"
"itu saja","iye ajak"
"amboi","doh adoh"
"potong","karrat"
"bohong","bulla'"
"merekah","merakkah"
"merekah","meladdor"
"diberi alas","ganjal"
"mengomel","ngerepek"
"kenal","kannal"
"menyetir","nyuper"
"awal","pungkak"
"nangka","nagka'"
"mengada-ngada","meramput"
"labu air","labu aek"
"lambat","alon"
"lambat","palan"
"lambat","ulut"
"memiliki","ade"
"berasal","asal"
"memaki","incarut"
"embun","ambun"
"biarkan","alekan"
"bertengger","nenggek"
"lurus","kajjor"
"bagaimana","gaikemane"
"bagaimana","gaimane"
"bagaimana","gimane"
"berlari","becaccak"
"kesurupan","kesarongan"=
"hey","hai"
"mandi","mandek"
"tawari","suguhe'"
"tawari","tawarkan'"
"caping","capel"
"caping","tanggoy"
"nyetir","nyuper"
"kesal","ibboh"
"hey","hei"
"pingsan","cuttam"
"untuk","kan"
"untuk","untok"
"hilir","ille'"
"goyang"," joget"
"memaki","incarrut"
"berhias","bemesen"
"bermakeup","bemesen"
"mual","mue'"
"muntah","mue'"
"cuci muka","impungas"
"tidak ada","si'an"
"tidak ada","sian"
"lewat tanpa permisi","meloros"
"suami","laki"
"tolong","tullong"
"ambil jalan pintas","bantas"
"ambil jalan pintas","mantas"
"nyenyak","nyannyak"
"beras putih ditumbuk","kasai"
"bertebaran","betaboran"
"berjualan","bejualan"
"enau","belullok"
"hutan rimba","udas"
"menyanjung","ambol"
"garuk","nggarrok"
"menangkap ikan dengan tangan kosong","ngammal"
"bahwa","bahwe"
"menukar","nukkar"
"sejenis","bangse"
"sejenis","macamnak"
"lari","cacak"
"lari","becacak"
"saya pikir","kusangkak"
"menegur","naggor"
"ubi kayu","bandong"
"tebus","tabus"
"sepupu","petunggalan"
"ngejek","ngolok"
"membuka lebar","bissak"
"burung","burrong"
"kelapa","kelapak"
"rupanya","gassa'ang"
"benci","bancik"
"ruang depan","ruang dapan"
"mematahkan","pulakkan"
"mengelap","allap"
"minum kopi","ngopi"
"menjalani","nyalanek"
"para anak kecil","cik kericik"
"air","aek"
"kapalan","kaddalan"
"bopeng","bore'"
"sedotan","garong"
"maklum","ma'lom"
"Kalimantan Barat","Kalimantan barat"
"sampah","uras"
"berhenti","beranti"
"beristri","bebini"
"mudah","gampang"
"makan lauk dalam jumlah banyak.","ratah"
"makin","mangkin"
"gelang","gallang"
"geli","galli'"
"jentik","ingkatek"
"jentik-jentik","ingkatek"
"berdentang","bedancang"
"bersihkan lantai","ngappel"
"bersihkan lantai","ngallap"
"iklan","tajak"
"tempat sirih","cambol"
"kah","ke"
"keranjingan","tegile-gile"
"menjadi jadi","makin jadi"
"percaya","pecayak"
"laut","laot"
"tunggu","tunggu"
"tunggu","tantek"
"lemari","bopet"
"salto","balik belungkang"
"salto","balik belungking"
"pening","paning"
"basa basi","buang pelambai"
"terpikat","tepikat"
"10 ribu","10 ribu"
"nafsu","nafsu"
"ubi jalar","kimmille'"
"setrika","nereka"
"helai","allai"
"bangkrut","bingkrap"
"tidak tegap","gaggai"
"kepinding","impijjat"
"berjalan beriringan","beririk"
"batuk keras","betakkol"
"beruntun","bejabu"
"anjing","asok"
"mendengar","nangar"
"berkah","barkah"
"bandel","soso"
"nakal","soso"
"merinding","ngeranjang"
"benarlah","inyan ke"
"ber","be"
"anting-anting","subbang"
"anting","subbang"
"nya","nye"
"kemudian","laka' iye"
"ikan laut","ikan laut"
"kurus","kerempeng"
