"satuan untuk menyatakan jumlah","butte'"
"bruntusan","meranas"
"buang air besar","bera'"
"bersin","kase'"
"sini","sittok"
"bola dari kulit","bal bladar"
"magnet","bassi berani"
"tampak","nampak"
"budak","biak"
"capil","capil"
"jumpa","jumpe"
"berliur","belior"
"buang angin","kantut"
"cemberut","tebajju'"
"pundak","belakang"
"jalan-jalan","melancong"
"lurus","bujjo'r"
"kencing","kancing"
"modul","modul"
"ketikan","katikkan"
"abang","abang"
"sogol","tidak tega"
"mengadon","ngadon"
"kepanasan","lissoh"
"kerumah","kerumah"
"menilak","nullak"
"terik","tarrik"
"senyap","sannyap"
"cemburu","cemburu"
"berkenalan","kanalan"
"ventilasi","lubbang angin"
"tunggang langgang","balik belungkang"
"tidak mengakui","ingkar"
"kuda","kudde"
"mengadu","betummang"
"hama","bangas"
"berhias","mesen"
"selesai","lakka'"
"tidak pernah","daan suah"
"noreh","nurreh"
"gabung","gabong"
"benjol","benjol"
"joorok","cerobo'"
"bubuk bersila","nyela'"
"bohong","bullak"
"test","tarai"
"menyambar","nyambar"
"15666666666.0","15666666666.0"
"menyisir","bekillas"
"benar tidak","batol ke"
"tinju","boksen"
"goda","ngode"
"ajak","ajak"
"desak","dassak"
"bocor","bobos"
"kemana-mana","latto'"
"almarhum","jannat"
"potongan pinggiran","simper"
"memeras","parrah"
"menggelepar","ngelattap"
"bagaikan","ba'"
"bagian dari acara perkawinan","balik tikkar"
"mengenai","kannak"
"mudah jatuh","gaggai"
"berantem","beramok"
"hiu","iyok"
"kursi","kursi"
"bahasa sambas","bahase sambas"
"penipu","penipu"
"bergaya angkuh","kerewak"
"sarapan","sarapan"
"mantan","mantan"
"tak tentu arah","soksasap"
"burung sejenis elang","bendaol"
"sepeda","lereng"
"lengah","leke"
"rasa nya","rasenye"
"rambutnya","rambutnye"
"kurang lancar","gancat"
"kangen","salok"
"satuan ukuran isi untuk beras atau biji-bijian lainnya yang seukuran separuh tempurung kelapa","alling"
"sudah tau resikonya besar masih juga dilakukan","dah tau tunggol antakke' burik"
"bengis","bangis"
"satu buah","sigek"
"kenapa","jape"
"jantan","jantan"
"pontianak","pontianak"
"koyak","baddau"
"aliran","aleran"
"ini","ito"
"gemerincing","bedancing"
"mustahil","ingkoset"
"berjalan dengan sebalah kaki","entet"
"cuci muka","mpungas"
"berurutan","beririk"
"nama takaran","gantang"
"ke","ke"
"jeput jeput","caprot"
"buang air pada saat tidur","bubo'"
"remang remang","kaddau"
"selalu goyah","gaggai"
